priority_order,normalized_word,learner_rank,source_memberships,original_source_lemmas,rank_source,rank_source_version,rank_source_url,rank_source_license
501,claim,501,"[""ngsl-core""]","[""claim""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
502,relationship,502,"[""ngsl-core""]","[""relationship""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
503,travel,503,"[""ngsl-core""]","[""travel""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
504,enjoy,504,"[""ngsl-core""]","[""enjoy""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
505,death,505,"[""ngsl-core""]","[""death""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
506,nice,506,"[""ngsl-core""]","[""nice""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
507,amount,507,"[""ngsl-core""]","[""amount""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
508,improve,508,"[""ngsl-core""]","[""improve""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
509,picture,509,"[""ngsl-core""]","[""picture""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
510,boy,510,"[""ngsl-core""]","[""boy""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
511,regard,511,"[""ngsl-core""]","[""regard""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
512,organization,512,"[""ngsl-core""]","[""organization""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
513,happy,513,"[""ngsl-core""]","[""happy""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
514,couple,514,"[""ngsl-core""]","[""couple""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
515,act,515,"[""ngsl-core""]","[""act""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
516,range,516,"[""ngsl-core""]","[""range""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
517,quality,517,"[""ngsl-core""]","[""quality""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
518,project,518,"[""ngsl-core""]","[""project""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
519,round,519,"[""ngsl-core""]","[""round""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
